,Srn,Charge_Id,Charge_Holder_Name,Date_Of_Creation,Date_Of_Modification,Date_Of_Satisfaction,Amount,Cin,Company_Name,Runtime,Address,Charge_Holder_Clean_Name
461,Y10517693,90389623,BANK OF BARODA,1994-10-08,,1999-09-30,190000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT       Maharashtra  India,BANK OF BARODA
462,Y10517697,90389627,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1995-02-13,1995-05-30,1999-09-30,200000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
463,Y10517701,90389631,CREDIT LYONNAIS,1995-07-25,,1999-09-30,150000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,BALLARD ESTATE       Maharashtra  India,CREDIT LYONNAIS
464,Y10517703,90389633,STATE BANK OF TRAVANCORE,1995-10-16,,1999-09-30,42500000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,FREE PRESS HOUSE NARIMAN POINT      Maharashtra  India,STATE BANK OF TRAVANCORE
465,Y10517704,90389634,INDUSTRIAL DEVELOPMENT BANK OF INDIA,1996-01-03,,1999-09-30,45000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,IDBI TOWER CUFFE PARADE      Maharashtra  India,INDUSTRIAL DEVELOPMENT BANK OF INDIA
466,Y10517705,90389635,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA,1996-01-15,1996-05-06,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,22 STATION ROAD       Uttar Pradesh  India,SMALL INDUSTRIES DEVELOPMENT BANK OF INDIA
467,Y10517710,90389640,ICICI BANK LTD.,1996-09-24,1996-10-30,1999-09-30,250000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,ZENITH HOUSE       Maharashtra  India,ICICI BANK
468,Y10517713,90389643,HDFC BANK LTD.,1997-01-16,,1999-09-30,70000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,169 BACKBAY RECLAMATION       Maharashtra  India,HDFC BANK
469,Y10517714,90389644,ICICI LIMITED,1997-03-14,1997-03-31,1999-09-30,200000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,ZENITH HOUSE MAHALAXMI      Maharashtra  India,ICICI
470,Y10517715,90389645,BANK OF BARODA,1997-04-25,,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NARIMAN POINT BRNACH       Maharashtra  India,BANK OF BARODA
471,Y10517716,90389646,THE CATHOLIC SYRIAN BANK LTD.,1997-06-25,,1999-09-30,45000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,53 EASTEND WEST BUILDING B.S. MARG FORT      Maharashtra  India,CATHOLIC SYRIAN BANK
472,Y10517718,90389648,UNIT TRUST BANK OF INDIA,1998-06-26,1992-11-22,1999-09-30,20000000,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,NEW MARINE LINES       Maharashtra  India,UNIT TRUST BANK OF INDIA
473,Y10517719,90389649,ORIENTAL BANK OF COMMERCE,1999-03-30,,2005-09-30,1138796,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
474,Y10517720,90389650,ORIENTAL BANK OF COMMERCE,1999-09-28,,2005-09-30,916325,L65920MH1994PLC080618,HDFC BANK,2023-12-19 18:33:25.617334,M.G. ROAD       Maharashtra  India,ORIENTAL BANK OF COMMERCE
