Village_Name,State_Name,District_Name,Block_Name,Pincode
BUDHIPADAR,odisha,BOLANGIR,LOISINGHA,767020
BULANDPUR URF HUSAINPUR,bihar,SITAMARHI,RUNNI SAIDPUR,843117
BUROMUNDA,odisha,BOLANGIR,LOISINGHA,767065
BURUDUYA,jharkhand,PASHCHIMI SINGHBHUM,GOELKERA,833103
CHAHALI,odisha,KANDHAMAL,CHAKAPAD,762028
CHAINPUR BARERIYA,uttar pradesh,BALRAMPUR,TULSIPUR,271208
CHAKNADIH,jharkhand,PALAMU,TARHASI,822118
CHAMPAWA,jharkhand,PASHCHIMI SINGHBHUM,BANDGAON,835216
CHAMWALIA,bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845101
CHANABAHAL,odisha,BOLANGIR,MURIBAHAL,767037
CHANDERPUR,jharkhand,PALAMU,PANKI,822122
CHANDRAPUR,jharkhand,PALAMU,PANKI,822115
CHAPARIYA,jharkhand,DEOGHAR,DEOGHAR,814114
CHAPARWAR,jharkhand,PALAMU,PIPRA,822113
CHAUHATTER KALAN,uttar pradesh,BALRAMPUR,TULSIPUR,271208
CHAUKAKALAN,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271861
CHAUPAR KHURD,bihar,SITAMARHI,NANPUR,843326
CHENGWANA,jharkhand,PALAMU,CHHATARPUR,822113
CHETMA,jharkhand,PALAMU,PATAN,822123
CHHATABEDA,odisha,NABARANGPUR,RAIGHAR,764074
CHHITALU PUR,uttar pradesh,BALRAMPUR,REHRA BAZAR,271306
CHHOTA KOYTA,jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833201
CHILHO KALA,jharkhand,PALAMU,CHHATARPUR,822113
CHILRA,bihar,SITAMARHI,SONBARSA,843330
CHIRU,jharkhand,PALAMU,CHHATARPUR,822113
CHITPIL,jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102
CHIURAHI,bihar,PASHCHIM CHAMPARAN,MADHUBANI,845104
CHOKDI,jharkhand,PALAMU,HAIDARNAGAR,822115
CHORHAT,jharkhand,PALAMU,RAMGARH,822110
CHOTA BHADIAN,bihar,SITAMARHI,NANPUR,843333
CHOUBAN TAND,jharkhand,PALAMU,PANKI,822122
CHOUPARIA,jharkhand,PALAMU,RAMGARH,822110
CHOWKHDA,jharkhand,PALAMU,CHHATARPUR,822113
CHOYA,jharkhand,PASHCHIMI SINGHBHUM,JHINKPANI,833215
CHUNGA BANSDIH KHURD,jharkhand,PALAMU,RAMGARH,822110
COURT BAZAR WD 24,bihar,SITAMARHI,DUMRA,843302
DAKAHI,uttar pradesh,BALRAMPUR,BALRAMPUR,271201
DALA KHURD,jharkhand,PALAMU,PANDU,822132
DALAKWA DALKI,bihar,SITAMARHI,SONBARSA,843330
DALGUMA,odisha,KALAHANDI,KOKSARA,766017
DANDIAPALI,odisha,SUNDERGARH,LATHIKATA,769004
DANDTUTA,jharkhand,PALAMU,CHHATARPUR,822113
DANGARAPALLI,odisha,KORAPUT,KUNDRA,764002
DARIO,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,835216
DASAIN,bihar,SITAMARHI,RUNNI SAIDPUR,843323
DENGAPADAR,odisha,KORAPUT,BORIGUMMA,764063
DEOGAON,odisha,BOLANGIR,SAINTALA,833102
DEONA BUZURG,bihar,SITAMARHI,RUNNI SAIDPUR,843328
DEULIYA,bihar,PASHCHIM CHAMPARAN,RAMNAGAR,845106
DEUNDI,odisha,KALAHANDI,JUNAGARH,766023
DEVARIYA INAYAT,uttar pradesh,BALRAMPUR,REHRA BAZAR,271307
DEVJHARI,jharkhand,PASHCHIMI SINGHBHUM,HATGAMAHARIA,833214
DEVPURA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
DEWALIA,bihar,PASHCHIM CHAMPARAN,MAINATAND,845306
DEWAN,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105
DEWRANWAN,uttar pradesh,BALRAMPUR,BALRAMPUR,271604
DEWRIYA,bihar,PASHCHIM CHAMPARAN,BAGAHA-II (SIDHAW),845105
DEYPUR,odisha,KALAHANDI,KALAMPUR,766001
DHAB KALA,jharkhand,PALAMU,HARIHARGANJ,822113
DHABANISOLE,odisha,MAYURBHANJ,BANGRIPOSI,757032
DHABELWA,bihar,PASHCHIM CHAMPARAN,JOGAPATTI,845452
DHACHAWAR,jharkhand,PALAMU,PANDU,822124
DHAMA CHAURI,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
DHAMANAGUDA,odisha,NABARANGPUR,JHARIGAM,764072
DHAMAULI,uttar pradesh,BALRAMPUR,PACHPERWA,271206
DHANAHA,bihar,SITAMARHI,PARIHAR,845104
DHANAURA,uttar pradesh,BALRAMPUR,TULSIPUR,271208
DHANGHATA MURTIHWA,uttar pradesh,BALRAMPUR,HARAIYA SATGHARWA,271207
DHAURAHRI,uttar pradesh,BALRAMPUR,TULSIPUR,271208
DHAWA,jharkhand,PALAMU,RAMGARH,814146
DHUB,jharkhand,PALAMU,PANKI,822122
DINDAPAI,jharkhand,PASHCHIMI SINGHBHUM,GUDRI,833105
DOBROBASA(LOWALANDIR),jharkhand,PASHCHIMI SINGHBHUM,TANTNAGAR,833201
DOKHNI,bihar,PASHCHIM CHAMPARAN,RAMNAGAR,845106
DONDIYA,jharkhand,DEOGHAR,SARWAN,814120
DORPUR,bihar,SITAMARHI,NANPUR,843333
DUARIKA,jharkhand,PALAMU,PANKI,822122
DUBIL,jharkhand,PASHCHIMI SINGHBHUM,MANOHARPUR,833106
DUBJORA,jharkhand,DEOGHAR,SARWAN,814150
DUDHA,bihar,PASHCHIM CHAMPARAN,MAJHAULIA,845454
DUDHAURA,bihar,PASHCHIM CHAMPARAN,MAINATAND,845451
DUGAPUR,uttar pradesh,BALRAMPUR,BALRAMPUR,271201
DUGLAHANDI ,odisha,NABARANGPUR,KOSAGUMUDA,764058
DUKRI,jharkhand,PASHCHIMI SINGHBHUM,CHAKRADHARPUR,833102
