lat,lng,address,Place
26.8204063,85.61521859999999,"Dalakwa Dalki, Bihar 843330, India","DALAKWA DALKI,SONBARSA,SITAMARHI,Bihar"
19.6865174,82.6773714,"Dalguma, Odisha 766019, India","DALGUMA,KOKSARA,KALAHANDI,Odisha"
22.2236631,84.7863813,"Dandiapali, Rourkela, Odisha, India","DANDIAPALI,LATHIKATA,SUNDERGARH,Odisha"
24.3733078,84.1929949,"Bara, Palamu, NH-98, Aurangabad, Road, Chhatarpur, Jharkhand 822113, India","DANDTUTA,CHHATARPUR,PALAMU,Jharkhand"
18.9786148,82.3316244,"Dangarapalli, Odisha 764002, India","DANGARAPALLI,KUNDRA,KORAPUT,Odisha"
22.6840627,85.2114218,"Gudri, Jharkhand 833103, India","DARIO,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand"
26.3726481,85.4927026,"Runni Saidpur Madhya, Bihar, India","DASAIN,RUNNI SAIDPUR,SITAMARHI,Bihar"
19.1733835,82.5038391,"Dengapadar, Odisha 764056, India","DENGAPADAR,BORIGUMMA,KORAPUT,Odisha"
20.714729,83.48989859999999,"Gandhi Nagar Para, Balangir, Odisha 767001, India","DEOGAON,SAINTALA,BOLANGIR,Odisha"
26.3726481,85.4927026,"Runni Saidpur Madhya, Bihar, India","DEONA BUZURG,RUNNI SAIDPUR,SITAMARHI,Bihar"
27.1641788,84.32901389999999,"Ramnagar, Bihar 845106, India","DEULIYA,RAMNAGAR,PASHCHIM CHAMPARAN,Bihar"
19.7459639,82.8492538,"Deundi, Odisha 766023, India","DEUNDI,JUNAGARH,KALAHANDI,Odisha"
27.1179352,82.4021319,"Deoria Inayat, Uttar Pradesh, India","DEVARIYA INAYAT,REHRA BAZAR,BALRAMPUR,Uttar Pradesh"
22.3650858,85.4375574,"West Singhbhum, Jharkhand, India","DEVJHARI,HATGAMAHARIA,PASHCHIMI SINGHBHUM,Jharkhand"
27.6377845,82.29905839999999,"Harraiya Satgharwa, Uttar Pradesh 271208, India","DEVPURA,HARAIYA SATGHARWA,BALRAMPUR,Uttar Pradesh"
27.1277761,84.6505281,"Dewalia, Bihar 845306, India","DEWALIA,MAINATAND,PASHCHIM CHAMPARAN,Bihar"
22.6840627,85.2114218,"Gudri, Jharkhand 833103, India","DEWAN,GUDRI,PASHCHIMI SINGHBHUM,Jharkhand"
