Country,City,Area,Area_Clean,Count,Relevant_Week,Relevant_Date,Runtime
India,Dhoraji,Dhoraji,Dhoraji,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gangavathi,Gangavathi,Gangavathi,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ambajogai,Ambejogai,Ambejogai,47,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Aruppukottai,Aruppukkottai,Aruppukkottai,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Paramakudi,Paramakudi,Paramakudi,14,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Mayiladuthurai,Mayiladuthurai,Mayiladuthurai,37,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jehanabad,Jehanabad,Jehanabad,21,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Barmer,Barmer,Barmer,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sujangarh,Sujangarh,Sujangarh,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nawada,Nawada,Nawada,22,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Tiruchendur,Tiruchendur,Tiruchendur,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kovilpatti,Kovilpatti,Kovilpatti,36,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Buxar,Buxar,Buxar,26,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ballarpur,Ballarpur,Ballarpur,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Puranpur,Puranpur,Puranpur,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Saunda,Saunda,Saunda,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chilakaluripet,Chilakaluripet,Chilakaluripet,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ballia,Ballia,Ballia,56,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chandausi,Chandausi,Chandausi,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kannauj,Kannauj,Kannauj,25,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Baran,Baran,Baran,40,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gangapur,Gangapur,Gangapur,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Port Blair,Port Blair,Port Blair,95,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Bangaon,Bangaon,Bangaon,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Basirhat,Basirhat,Basirhat,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Barwani,Barwani,Barwani,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Krishnanagar,Krishnanagar,Krishnanagar,23,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Baripada,Baripada,Baripada,32,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dahod,Dahod,Dahod,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chakdaha,Chakdaha,Chakdaha,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Srivilliputhur,Srivilliputhur,Srivilliputhur,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dholpur,Dholpur,Dholpur,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Rajapalayam,Rajapalayam,Rajapalayam,39,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cooch Behar,Cooch Behar,Cooch Behar,40,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kayamkulam,Kayamkulam,Kayamkulam,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Cherthala,Cherthala,Cherthala,39,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Madhepura,Madhepura,Madhepura,12,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Saharsa,Saharsa,Saharsa,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kapadvanj,Kapadvanj,Kapadvanj,5,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Godhra,Godhra,Godhra,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Virudhachalam,Virudhachalam,Virudhachalam,9,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Neyveli,Neyveli,Neyveli,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nabadwip,Nabadwip,Nabadwip,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Dehri,Dehri,Dehri,19,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Jalaun,Jalaun,Jalaun,24,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Auraiya,Auraiya,Auraiya,27,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Gangarampur,Gangarampur,Gangarampur,9,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Balurghat,Balurghat,Balurghat,20,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sidhi,Sidhi,Sidhi,28,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Raiganj,Raiganj,Raiganj,17,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Sirohi,Sirohi,Sirohi,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Nagapattinam,Nagapattinam,Nagapattinam,39,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Vatakara,Vatakara,Vatakara,33,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Kanhangad,Kanhangad,Kanhangad,15,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Santipur,Santipur,Santipur,18,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Banda,Banda,Banda,67,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Ranaghat,Ranaghat,Ranaghat,37,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Veraval,Veraval,Veraval,66,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Phusro,Phusro,Phusro,11,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Habra,Habra,Habra,58,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Surendranagar,Surendranagar,Surendranagar,34,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Chiplun City,Chiplun,Chiplun,68,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Khamgaon,Khamgaon,Khamgaon,40,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Deoria City,Deoria,Deoria,80,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Balrampur,Balrampur,Balrampur,30,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Lakhimpur,Lakhimpur,Lakhimpur,65,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Mau,Mau,Mau,48,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Budaun,Budaun,Budaun,58,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Pilibhit,Pilibhit,Pilibhit,53,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Janjgir,Janjgir,Janjgir,13,Week 09-2023,2023-03-02,2023-03-02 08:50:53
India,Janjgir,Champa,Champa,9,Week 09-2023,2023-03-02,2023-03-02 08:50:53
