,0,1,2
465,alavi co operative bank,alavi co operative bank,True
466,allahabad u p gramin bank,allahabad u p gramin bank,True
467,aman sah bank ichalkaranji,aman sah bank ichalkaranji,True
468,amaravati zillha parishad shikshak sah bank,amaravati zillha parishad shikshak sah bank,True
469,amarnath co op bank,amarnath co op bank,True
470,ambajogai peoples co op bank,ambajogai peoples co op bank,True
471,amreli jilla madhyastha sahakari bank,amreli jilla madhyastha sahakari bank,True
472,amreli nagarik sahakari bank,amreli nagarik sahakari bank,True
473,anand mercantile co op bank,anand mercantile co op bank,True
474,appasaheb birnale sahakari bank dudhgaon,appasaheb birnale sahakari bank dudhgaon,True
475,arihant urban co op bank,arihant urban co op bank,True
476,aryavart bank,aryavart bank,True
477,ashta peoples co op bank ashta,ashta peoples co op bank ashta,True
478,assam gramin vikash bank,assam gramin vikash bank,True
479,associate co op bank,associate co op bank,True
480,babasaheb deshmukh sahakari bank atpadi,babasaheb deshmukh sahakari bank atpadi,True
481,balasinor nagarik sahakari bank,balasinor nagarik sahakari bank,True
482,balitikuri co op bank,balitikuri co op bank,True
483,balotra urban co op bank,balotra urban co op bank,True
484,balusseri co operative urban bank,balusseri co operative urban bank,True
485,banaskantha district central co op bank,banaskantha district central co op bank,True
486,bank of rajasthan,bank of rajasthan,True
487,bapunagar mahila co op bank,bapunagar mahila co op bank,True
488,baran nagrik sahakari bank,baran nagrik sahakari bank,True
489,bardoli nagrik sahakari bank,bardoli nagrik sahakari bank,True
490,baroda central co op bank baroda,baroda central co op bank baroda,True
491,baroda city co op bank,baroda city co op bank,True
492,baroda up gramin bank,baroda up gramin bank,True
493,bellary district co op central bank,bellary district co op central bank,True
494,bhadradri co op urban bank,bhadradri co op urban bank,True
495,bhagyalakshmi mahila sahakari bank,bhagyalakshmi mahila sahakari bank,True
496,bhagyodaya co op bank,bhagyodaya co op bank,True
497,bharuch district central co op bank,bharuch district central co op bank,True
498,bhavana rishi co op urban bank,bhavana rishi co op urban bank,True
499,bhavnagar district co op bank,bhavnagar district co op bank,True
500,bhilwara urban co op bank,bhilwara urban co op bank,True
501,bhiwani central co op bank ;bhiwani,bhiwani central co op bank ;bhiwani,True
502,bhuj commercial co operative bank,bhuj commercial co operative bank,True
503,bicholim urban co op bank,bicholim urban co op bank,True
504,business co op bank,business co op bank,True
505,c g rajya sahakari bank,c g rajya sahakari bank,True
506,calicut co op urban bank,calicut co op urban bank,True
507,central co op bank bikaner,central co op bank bikaner,True
508,chaitanya godavari grameena bank,chaitanya godavari grameena bank,True
509,chanasma nagrik sahakari bank,chanasma nagrik sahakari bank,True
510,chandigarh state co op bank,chandigarh state co op bank,True
511,chandwad merchants co op bank,chandwad merchants co op bank,True
512,cherpalcheri co operative urban bank,cherpalcheri co operative urban bank,True
513,chhapi nagrik sahakari bank,chhapi nagrik sahakari bank,True
514,chikhli urban co op bank,chikhli urban co op bank,True
515,chikkamagaluru district central co op bank,chikkamagaluru district central co op bank,True
516,chitradurga distict co op central bank,chitradurga distict co op central bank,True
517,chittoor district co op central bank,chittoor district co op central bank,True
518,citizens co op bank rajkot,citizens co op bank rajkot,True
519,clearing corporation of india,clearing corporation of india,True
520,coimbatore district central co op bank,coimbatore district central co op bank,True
521,col rd nikam sainik sahakari bank,col rd nikam sainik sahakari bank,True
